episode_id,date,window,start_utc,end_utc,n_m1_bars,clean_warmup,ea_basket_ids,ea_n_baskets,ea_total_profit,has_ea_activity
2024-04-30.evening,2024-04-30,evening,2024-04-30T15:00:00,2024-04-30T21:00:00,360,True,"0,1,2,3",4,6.34,True
2024-05-09.evening,2024-05-09,evening,2024-05-09T15:00:00,2024-05-09T21:00:00,360,True,"124,125,126",3,4.07,True
2024-05-10.morning,2024-05-10,morning,2024-05-10T05:00:00,2024-05-10T09:00:00,240,True,"127,128,129,130",4,10.4,True
2024-05-20.morning,2024-05-20,morning,2024-05-20T05:00:00,2024-05-20T09:00:00,240,True,131,1,35.16,True
2024-05-22.evening,2024-05-22,evening,2024-05-22T15:00:00,2024-05-22T21:00:00,360,True,"4,5,6,7",4,15.48,True
2024-05-23.evening,2024-05-23,evening,2024-05-23T15:00:00,2024-05-23T21:00:00,360,True,8,1,3.76,True
2024-06-07.evening,2024-06-07,evening,2024-06-07T15:00:00,2024-06-07T21:00:00,360,True,"9,10,11,12,13,14",6,43.2,True
2024-06-17.evening,2024-06-17,evening,2024-06-17T15:00:00,2024-06-17T21:00:00,360,True,"132,133",2,2.22,True
2024-06-19.morning,2024-06-19,morning,2024-06-19T05:00:00,2024-06-19T09:00:00,240,True,"134,135",2,23.0,True
2024-06-21.evening,2024-06-21,evening,2024-06-21T15:00:00,2024-06-21T21:00:00,360,True,"15,16,17,18",4,27.24,True
2024-06-21.morning,2024-06-21,morning,2024-06-21T05:00:00,2024-06-21T09:00:00,240,True,"136,137,138",3,60.13,True
2024-07-02.evening,2024-07-02,evening,2024-07-02T15:00:00,2024-07-02T21:00:00,360,True,139,1,3.24,True
2024-07-08.evening,2024-07-08,evening,2024-07-08T15:00:00,2024-07-08T21:00:00,360,True,"19,20,21",3,45.22,True
2024-07-18.evening,2024-07-18,evening,2024-07-18T15:00:00,2024-07-18T21:00:00,360,True,22,1,9.24,True
2024-07-19.evening,2024-07-19,evening,2024-07-19T15:00:00,2024-07-19T21:00:00,360,True,"23,24,25,26",4,35.0,True
2024-07-22.evening,2024-07-22,evening,2024-07-22T15:00:00,2024-07-22T21:00:00,360,True,"27,28,140,141,142",5,72.59,True
2024-07-25.evening,2024-07-25,evening,2024-07-25T15:00:00,2024-07-25T21:00:00,360,True,"29,30",2,28.64,True
2024-07-30.evening,2024-07-30,evening,2024-07-30T15:00:00,2024-07-30T21:00:00,360,True,"143,144,145,146,147,148,149",7,71.04,True
2024-07-31.evening,2024-07-31,evening,2024-07-31T15:00:00,2024-07-31T21:00:00,360,True,"150,151,152,153,154,155",6,40.23,True
2024-08-08.evening,2024-08-08,evening,2024-08-08T15:00:00,2024-08-08T21:00:00,360,True,156,1,4.7,True
2024-08-12.evening,2024-08-12,evening,2024-08-12T15:00:00,2024-08-12T21:00:00,360,True,"157,158,159,160,161,162",6,11.02,True
